B01104,SMITH NEW COURT FAR EAST LTD
B01107,WAH CHEONG SECURITIES CO
B01108,HONOUR SECURITIES CO LTD
B01110,J.P. MORGAN BROKING (HONG KONG) LTD
B01112,DANNIS LEE & CO
B01114,元大證券經紀有限公司
B01115,申萬宏源證券(香港)有限公司
B01116,HONG KONG WAN KIU INVESTMENT CO
B01118,東亞證券有限公司
B01119,時富證券有限公司
B01120,日盛嘉富證券(亞洲)有限公司
B01121,法國興業證券(香港)有限公司
B01123,興旺證券有限公司
B01124,CHEKIANG FIRST SECURITIES CO LTD
B01125,I & P SECURITIES LTD
B01127,REORIENT FINANCIAL MARKETS LTD
B01129,宏高證券有限公司
B01130,中銀國際證券有限公司
B01131,COMMERCIAL INVESTMENT CO LTD
B01133,加皇投資理財有限公司
B01135,UNITED WORLD SECURITIES (INTERNATIONAL)
B01137,周生生證券有限公司
B01138,中信里昂證券有限公司
B01140,MPI SECURITIES (ASIA) LTD
B01141,廣利証券有限公司
B01142,SHING ON SECURITIES LTD
B01143,海通國際證券有限公司
B01144,德豐證券投資有限公司
B01146,GOLDENWAY SECURITIES CO
B01148,招商證券(香港)有限公司
B01149,ABN AMRO ASIA SECURITIES (HONG KONG) LTD
B01150,邁高達證券有限公司
B01152,YU ON SECURITIES CO LTD
B01156,永隆證券有限公司
B01157,巴西證券有限公司
B01158,堅固證券有限公司
B01160,CHEONG WOON SECURITIES CO
B01161,UBS SECURITIES HONG KONG LTD
B01163,KA WING SECURITIES CO
B01166,KING FOOK SECURITIES CO LTD
B01168,GRAND SECURITIES CO
B01169,大眾金融証券有限公司
B01170,PBI SECURITIES HONG KONG LTD
B01171,PROMISING SECURITIES CO
B01173,日發證券有限公司
B01174,DBS VICKERS SECURITIES (HONG KONG)
B01175,F. R. ZIMMERN LTD
B01179,GRANSING SECURITIES & INVESTMENT CO
B01181,復星恆利證券有限公司
B01182,LUEN CHEUNG SHARES INVESTMENT CO
B01183,創興證券有限公司
B01184,華富嘉洛證券有限公司
B01186,BOKHARY & CO
B01187,YARDLEY SECURITIES CO
B01190,MANY FAIR SECURITIES CO
B01191,岡地投資(香港)有限公司
B01192,中南証券有限公司
B01193,UPBEST SECURITIES CO
B01194,GOOD HARVEST & CO
B01196,Y. C. FUNG & CO
B01197,H. K. HUNG & CO
B01198,步基證券有限公司
B01199,HANG TUNG SECURITIES LTD
B01200,浩誠證券有限公司
B01203,HOP LEE STOCK CO
B01204,TISCO SECURITIES HONG KONG LTD
B01206,SELINA & CO
B01207,順靈發展有限公司
B01209,民信證券有限公司
B01210,KONGSON SECURITIES LTD
B01212,興業證券有限公司
B01213,萬利豐證券有限公司
B01217,太平証券(香港)有限公司
B01220,永安祥證券有限公司
B01221,LEE SHUN SECURITIES CO
B01224,MLFE LTD
B01226,CHARK FUNG SECURITIES CO
B01227,好盈證券有限公司
B01228,中信証券經紀(香港)有限公司
B01230,太平基業證券有限公司
B01231,香港國際證券有限公司
B01232,CHIEF INVESTMENT CO
B01233,FOOK TIN SECURITIES (1987) LTD
B01235,LEE ON TAT INVESTMENT LTD
B01236,LOLLIMAN SECURITIES LTD
B01238,大業證券有限公司
B01239,NAVA SC SECURITIES LTD
B01240,秦志遠證券有限公司
B01241,TUNLIN SECURITIES CO
B01243,TEN & TEN SECURITIES CO
B01245,AGINCOURT SECURITIES & CO
B01246,鷹達證券有限公司
B01247,桂洪証券有限公司
B01248,均益證券(國際)有限公司
B01250,BILLION SECURITIES CO
B01251,CHUANGS & CO
B01252,協聯證券有限公司
B01253,常匯證券有限公司
B01254,LEE WAI & CO
B01256,國金證券(香港)有限公司
B01257,HO FUNG SHARES INVESTMENT CO
B01258,CHINA POINT STOCK BROKERS LTD
B01259,天發證券有限公司
B01260,林達證券有限公司
B01262,RICOFULL SECURITIES CO
B01264,金英證券(香港)有限公司
B01265,華僑永亨証券有限公司
B01266,中亞證券有限公司
B01267,永富證券有限公司
B01270,LEE TAT & CO
B01271,恒泰証券有限公司
B01272,富銀證券(香港)有限公司
B01273,WHOLE WIN SECURITIES CO
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD
B01275,新富證券有限公司
B01276,LEHMAN BROTHERS SECURITIES ASIA LTD
B01277,長盈證券有限公司
B01279,THE BEST SECURITIES CO
B01280,永發證券有限公司
B01282,昭海金融證券有限公司
B01283,V SIX SECURITIES LTD
B01284,恒生證券有限公司
B01286,K L SECURITIES CO
B01287,PEREGRINE BROKERAGE LTD
B01288,BOND'S SECURITIES LTD
B01289,南華證券投資有限公司
B01290,新寶城證券有限公司
B01292,亞華證券有限公司
B01294,中策富匯證券有限公司
B01295,KARL THOMSON SECURITIES CO
B01296,萬金來證券有限公司
B01297,朗盈證券有限公司
B01298,結好證券有限公司
B01299,BNP PARIBAS SECURITIES (ASIA) LTD
B01300,OCBC SECURITIES (HONG KONG) LTD
B01301,PARIBAS ASIA EQUITY LTD
B01303,UPWORTH SECURITIES LTD
B01304,ANGLO CHINESE SECURITIES LTD
B01305,CHIA TAI SECURITIES LTD
B01307,CHELAC INVESTMENT CO
B01308,長城證券有限公司
B01309,WO FUNG SECURITIES CO
B01310,同德証券(香港)有限公司
B01317,C.A. PACIFIC SECURITIES LTD
B01318,岡三國際(亞洲)有限公司
B01320,聯發證券有限公司
B01321,WINTAKLY SECURITIES CO
B01322,進匯證券有限公司
B01323,德意志證券亞洲有限公司
B01324,力寶證券有限公司
B01325,MASTER SECURITIES & INVESTMENT CO
B01326,摩根富國證券有限公司
B01328,萬興證券有限公司
B01329,昌萬年有限公司
B01330,NOMURA SECURITIES (HK) LTD
B01331,WALCO SECURITIES CO
B01332,NEW GALA SECURITIES CO
B01335,PLASIA SECURITIES CO
B01337,TAI FAT SECURITIES CO
B01338,英皇證券(香港)有限公司
B01340,利興股票有限公司
B01341,東泰證券有限公司
B01342,華泰證券有限公司
B01343,展兆投資有限公司
B01344,DAIWA SECURITIES SMBC (ASIA) LTD
B01345,輝立証券(香港)有限公司
B01346,CHINA PACIFIC SECURITIES LTD
B01347,聯昌證券有限公司
B01348,GRAND FORTUNE SECURITIES & INVESTMENT CO
B01349,GA LUNG SECURITIES CO
B01350,榮興證券有限公司
B01351,永豐證券有限公司
B01352,UNI-CROWN INVESTMENT LTD
B01353,大華繼顯(香港)有限公司
B01355,中國光大證券(香港)有限公司
B01356,匯業證券有限公司
B01358,TANRICH SECURITIES CO
B01359,PAK LEE STOCK CO
B01360,SEAMICO MARLIN SECURITIES (H.K.) LTD
B01361,B.N.P. SECURITIES (HONG KONG) LTD
B01362,祖達股票行有限公司
B01364,STANDARD CAPITAL BROKERAGE LTD
B01365,THE NIKKO SECURITIES CO (HONG KONG) LTD
B01366,UBS SECURITIES (HONG KONG) LTD
B01367,EVERLIGHT SHARES CO
B01368,哥連頓證券投資有限公司
B01369,MAXGAIN INVESTMENT LTD
B01370,WINSON SECURITIES LTD
B01372,第一金和昇證券有限公司
B01373,恆豐證券有限公司
B01374,寶利證券有限公司
B01375,大正證券有限公司
B01376,大眾証券有限公司
B01377,WAI KEUNG SECURITIES CO
B01379,GOLDEN FOUNTAIN SECURITIES CO
B01380,HING LEE SECURITIES CO
B01381,ALLIED PROFIT SECURITIES CO
B01382,CHINA-HK INTERNATIONAL SECURITIES LTD
B01383,富欣證券有限公司
B01384,ORIENTAL STOCKS & SHARES (INVESTMENT) CO
B01385,海富證券有限公司
B01386,軟庫中華金融服務有限公司
B01387,LUEN HING SECURITIES LTD
B01388,MANSON HONG KONG LTD
B01389,平和金融有限公司
B01390,CLARION CAPITAL ASIA LTD
B01391,KAY YUE SECURITIES CO LTD
B01392,大輝證券有限公司
B01393,CHINA NONFERROUS METALS SECURITIES CO
B01395,SIX SIGMA BROKERAGE LTD
B01396,REALIGHT INVESTMENT LTD
B01397,BALI SECURITIES CO LTD
B01398,TAI SHING STOCK INVESTMENT CO
B01399,JIN LOONG SECURITIES CO LTD
B01400,GLOBAL CREDIT SECURITIES LTD
B01401,萬達基證券有限公司
B01402,英明證券有限公司
B01403,華輝證券有限公司
B01404,港股通証券有限公司
B01405,ETRADE SECURITIES LTD
B01406,CHINA SECURITIES HOLDINGS LTD
B01407,宏旺證券有限公司
B01408,PACIFIC RIM SECURITIES
B01409,DRESDNER KLEINWORT WASSERSTEIN
B01410,中國薈智證券有限公司
B01411,WING YEE CO
B01412,RANK GLORY INVESTMENT LTD
B01413,京華山一國際(香港)有限公司
B01414,億康證券有限公司
B01415,泰山證券有限公司
B01416,匯盈證券有限公司
B01417,致德證券有限公司
B01418,EVER-LONG SECURITIES CO
B01419,UNICO SECURITIES LTD
B01420,A ONE INVESTMENT CO LTD
B01421,康證有限公司
B01423,信誠證券有限公司
B01424,INTERCHINA SECURITIES LTD
B01425,偉富證券有限公司
B01426,YEE FAT SECURITIES CO LTD
B01427,訊匯證券有限公司
B01428,協興股票有限公司
B01429,NEW JAPAN SECURITIES INTERNATIONAL
B01430,CITIGROUP GLOBAL MARKETS ASIA LTD
B01431,YUE SHING SECURITIES CO LTD
B01432,GRAND GENERALE SECURITIES LTD
B01433,興偉聯合證券有限公司
B01434,香港金融數據證券有限公司
B01435,捷利證券有限公司
B01436,MANBLE SECURITIES LTD
B01437,融富證券有限公司
B01438,金利豐證券有限公司
B01439,大德證券(亞洲)有限公司
