00433,北方礦業
00434,博雅互動
00435,陽光房地產基金
00436,新宇環保
00438,彩虹新能源
00439,光啟科學
00440,大新金融
00442,KTL INTERNATIONAL HOLDINGS GROUP LIMITED
00444,SINCEREWATCH HK
00445,中國消防
00449,志高控股
00450,鴻興印刷集團
00451,協鑫新能源
00455,天大藥業
00456,新城市建設發展
00458,聯亞集團
00459,美聯工商舖
00460,四環醫藥
00462,天然乳品
00464,建福集團
00465,富通科技
00467,聯合能源集團
00468,紛美包裝
00469,凱普松國際
00471,中播控股
00472,新絲路文旅
00474,昊天發展集團
00475,中發展控股
00476,中國動力控股
00479,華建控股
00480,香港興業國際
00482,聖馬丁國際
00483,包浩斯國際
00484,雲遊控股
00485,中國華星
00486,UNITED COMPANY RUSAL PLC
00487,實德環球
00488,麗新發展
00489,東風集團股份
00491,漢傳媒
00493,國美電器
00494,利豐
00495,PALADIN
00496,卡森國際
00497,資本策略地產
00498,保華集團
00499,青島控股
00500,先豐服務集團
00503,朗生醫藥
00505,歡悅互娛
00506,中國食品
00508,鼎億集團投資
00509,世紀陽光
00510,時富金融服務集團
00511,電視廣播
00512,遠大醫藥
00513,恆和集團
00515,達進東方照明
00517,中遠國際控股
00518,同得仕(集團)
00519,實力建業
00520,呷哺呷哺
00521,海航實業股份
00522,ASM PACIFIC
00524,E-KONG GROUP
00525,廣深鐵路股份
00526,利時集團控股
00527,瑞風新能源
00528,金達控股
00529,SIS INT'L
00530,高銀金融
00531,順誠
00532,WKK INTL (HOLD)
00533,金利來集團
00535,金地商置
00536,貿易通
00538,味千(中國)
00539,冠華國際控股
00540,迅捷環球控股
00542,新嶺域集團
00543,太平洋網絡
00544,大同集團
00546,阜豐集團
00547,數字王國
00548,深圳高速公路股份
00549,奇峰化纖
00550,先傳媒
00551,裕元集團
00552,中國通信服務
00553,南京熊貓電子股份
00554,漢思能源
00555,御泰中彩控股
00556,泛亞環保
00557,CITY E-SOLUTION
00558,力勁科技
00559,德泰新能源集團
00560,珠江船務
00563,上實城市開發
00564,鄭煤機
00565,錦藝集團控股
00566,漢能薄膜發電
00567,大昌微綫集團
00568,山東墨龍
00569,中國自動化
00570,中國中藥
00571,豐德麗控股
00572,中達金融集團
00573,稻香控股
00574,百信藥業
00575,勵晶太平洋
00576,浙江滬杭甬
00577,十三集團
00578,融信資源
00579,京能清潔能源
00580,賽晶電力電子
00581,中國東方集團
00582,藍鼎國際
00583,南潮控股
00585,意馬國際
00586,海螺創業
00587,華瀚健康
00588,北京北辰實業股份
00589,寶國國際
00590,六福集團
00591,中國高精密
00592,BOSSINI INT'L
00593,天洋國際控股
00595,AV CONCEPT HOLD
00596,浪潮國際
00598,中國外運
00599,怡邦行控股
00600,中國基建投資
00601,權智(國際)
00602,佳華百貨控股
00603,中油燃氣
00604,深圳控股
00605,中國金融投資管理
00606,中國糧油控股
00607,豐盛控股
00608,達利國際
00609,天德化工
00610,WAI KEE HOLD
00611,中國核能科技
00612,中國投資基金公司
00613,YUGANG INT'L
00616,高山企業
00617,百利保控股
00618,北大資源
00619,南華金融
00620,大唐西市
00621,壇金礦業
00622,威華達控股
00623,中視金橋
00625,睿富房地產基金
00626,大眾金融控股
00627,佑威國際
00628,華銀控股
00629,悅達礦業
00630,雋泰控股
00631,三一國際
00632,東方明珠石油
00633,中國全通
00635,彩星集團
00636,嘉里物流
00637,利記
00638,建溢集團
00639,首鋼資源
00640,星謙發展
00641,恆天立信
00642,PALADIN LIMITED- CONVERTIBLE REDEEMABLE PREFERENCE SHARES
00643,恆富控股
00645,安域亞洲
00646,中國環保科技
00647,JOYCE BOUTIQUE
00648,中國華仁醫療
00650,順昌集團
00651,中海重工
00653,卓悅控股
00655,香港華人有限公司
00656,復星國際
00657,環科國際
00658,中國高速傳動
00659,新創建集團
00660,偉俊礦業集團
00661,中國大冶有色金屬
00662,亞洲金融
00663,金山能源
00665,海通國際(一千)
00666,新工投資
00668,東銀國際控股
00669,創科實業
00670,中國東方航空股份
00672,眾安房產
00673,中國衛生控股
00674,文化地標投資
00675,堅寶國際
00676,創信國際
00677,金源米業
00678,雲頂香港
00679,亞洲聯網科技
00680,南海控股
00681,中民控股
00682,超大現代
00683,嘉里建設
00684,亞倫國際
00685,世界華文媒體
00686,聯合光伏
00687,香港國際建投
00688,中國海外發展
00689,長盈集團(控股)
00690,聯康生物科技集團
00691,山水水泥
00692,中國家居
00693,陳唱國際
00694,北京首都機場股份
00695,東吳水泥
00696,中國民航信息網絡
00697,SHOUGANG INT'L
00698,通達集團
00699,神州租車
00700,騰訊控股
00701,CNT GROUP
00702,中國油氣控股
00703,FUTURE BRIGHT
